Claim_ID,Claimant_Type,Damage_Category,Status,Requested_Amount,Approved_Amount,Assigned_Counsel,Filing_Date,Resolution_Date
CLM-10001,Individual,Property Damage,Disbursed,31598.04,26502.54,Gomez Legal,2025-03-07,2025-10-27
CLM-10002,Individual,Lost Agricultural Income,Rejected,13422.12,0.0,Patel Law Group,2025-05-05,2025-05-26
CLM-10003,Individual,Lost Agricultural Income,Rejected,7984.75,0.0,Rivera & Co,2024-10-05,2025-11-20
CLM-10004,Business,Structural Damage,Rejected,51907.98,0.0,Gomez Legal,2023-04-21,2025-12-24
CLM-10005,Individual,Relocation Expenses,Approved,81089.68,58100.08,Gomez Legal,2024-02-09,2024-07-23
CLM-10006,Individual,Relocation Expenses,Rejected,11766.52,0.0,Smith & Associates,2023-05-18,2025-07-25
CLM-10007,Individual,Relocation Expenses,Under Review,118850.51,,Rivera & Co,2025-06-23,
CLM-10008,Individual,Property Damage,Disbursed,11735.31,7841.65,Chen Defenders,2024-11-06,2025-09-26
CLM-10009,Individual,Property Damage,Disbursed,145016.64,104679.61,Gomez Legal,2025-12-01,2025-12-21
CLM-10010,Individual,Lost Agricultural Income,Disbursed,104073.21,97129.23,Rivera & Co,2024-02-02,2026-01-19
CLM-10011,Individual,Property Damage,Disbursed,42523.1,30815.83,Smith & Associates,2025-10-14,2025-12-12
CLM-10012,Individual,Relocation Expenses,Under Review,87316.55,,Chen Defenders,2025-04-04,
CLM-10013,Business,Structural Damage,Rejected,1018118.08,0.0,Rivera & Co,2023-01-22,2025-04-24
CLM-10014,Business,Property Damage,Under Review,266806.63,,Gomez Legal,2025-04-29,
CLM-10015,Individual,Property Damage,Under Review,61358.21,,Smith & Associates,2024-12-01,
CLM-10016,Business,Structural Damage,Disbursed,2414875.5,1715526.77,Chen Defenders,2023-10-04,2024-05-05
CLM-10017,Individual,Property Damage,Rejected,15809.84,0.0,Gomez Legal,2023-12-16,2025-03-06
CLM-10018,Business,Property Damage,Disbursed,2047880.5,1825896.13,Gomez Legal,2025-07-18,2026-02-07
CLM-10019,Business,Business Interruption,Disbursed,2319437.15,2240538.87,Smith & Associates,2023-10-22,2025-09-23
CLM-10020,Business,Structural Damage,Approved,283754.79,246167.64,Gomez Legal,2024-07-19,2024-12-30
CLM-10021,Individual,Relocation Expenses,Approved,133645.85,86580.82,Rivera & Co,2023-03-15,2025-03-17
CLM-10022,Business,Business Interruption,Under Review,1818237.33,,Chen Defenders,2023-06-20,
CLM-10023,Individual,Lost Agricultural Income,Approved,80796.26,49299.26,Smith & Associates,2025-09-23,2025-09-25
CLM-10024,Individual,Lost Agricultural Income,Approved,134885.72,111322.56,Patel Law Group,2025-06-20,2025-12-13
CLM-10025,Individual,Property Damage,Approved,41147.37,37124.0,Patel Law Group,2024-02-15,2024-04-01
CLM-10026,Individual,Lost Agricultural Income,Under Review,47013.96,,Smith & Associates,2025-09-21,
CLM-10027,Business,Business Interruption,Under Review,774302.53,,Rivera & Co,2024-10-20,
CLM-10028,Individual,Relocation Expenses,Approved,133075.64,86344.16,Chen Defenders,2023-05-25,2024-04-23
CLM-10029,Individual,Relocation Expenses,Under Review,20957.53,,Rivera & Co,2025-03-13,
CLM-10030,Individual,Property Damage,Under Review,129805.93,,Chen Defenders,2025-05-07,
CLM-10031,Individual,Property Damage,Disbursed,75300.35,53294.95,Gomez Legal,2023-02-10,2023-10-06
CLM-10032,Individual,Lost Agricultural Income,Disbursed,51864.43,45703.33,Smith & Associates,2023-04-19,2023-09-16
CLM-10033,Individual,Property Damage,Under Review,41817.74,,Chen Defenders,2023-12-29,
CLM-10034,Individual,Lost Agricultural Income,Under Review,48627.35,,Chen Defenders,2023-10-09,
CLM-10035,Individual,Property Damage,Approved,146609.17,89903.72,Patel Law Group,2024-10-03,2025-02-23
CLM-10036,Individual,Property Damage,Under Review,39736.47,,Patel Law Group,2023-05-09,
CLM-10037,Individual,Relocation Expenses,Disbursed,40098.01,36274.58,Rivera & Co,2025-06-30,2026-01-15
CLM-10038,Individual,Lost Agricultural Income,Approved,121455.26,120649.92,Gomez Legal,2025-03-16,2025-10-21
CLM-10039,Individual,Lost Agricultural Income,Disbursed,18092.02,13176.64,Gomez Legal,2024-05-17,2025-09-06
CLM-10040,Individual,Property Damage,Approved,129462.03,89082.36,Smith & Associates,2025-10-24,2025-12-29
CLM-10041,Business,Property Damage,Disbursed,604914.65,405139.51,Patel Law Group,2025-05-19,2025-09-27
CLM-10042,Individual,Lost Agricultural Income,Under Review,140825.85,,Gomez Legal,2025-11-01,
CLM-10043,Individual,Property Damage,Disbursed,35315.39,31017.99,Rivera & Co,2023-02-06,2024-07-19
CLM-10044,Individual,Relocation Expenses,Disbursed,147414.41,103828.64,Chen Defenders,2023-09-12,2025-10-14
CLM-10045,Municipality,Structural Damage,Disbursed,9688774.16,9233930.17,Smith & Associates,2025-04-08,2025-11-11
CLM-10046,Individual,Property Damage,Disbursed,55635.39,53345.67,Chen Defenders,2023-01-06,2026-02-11
CLM-10047,Business,Business Interruption,Under Review,1622977.53,,Patel Law Group,2024-09-20,
CLM-10048,Individual,Relocation Expenses,Disbursed,102003.3,76391.61,Smith & Associates,2024-02-23,2025-05-10
